formula,P,Tc,AD
Li8H9,50,7,-1
Li8H7,150,7,-1
Li9H8,150,7,-1
Li9H10,50,7,-1
Li9H10,100,7,-1
Li10H9,100,7,-1
Be2H,50,7,-1
Li4H7,50,7,-1
Be7H4,100,7,-1
Li4H7,150,7,-1
Li5H4,150,7,-1
Li5H6,50,7,-1
Li5H6,100,7,-1
Li5H6,150,7,-1
Li10H9,150,7,-1
Li10H9,50,7,-1
Li9H10,150,7,-1
Li10H7,150,7,-1
Li10H7,100,7,-1
Li10H7,50,7,-1
Li10H3,150,7,-1
Li10H3,100,7,-1
Li10H3,50,7,-1
Li10H,150,7,-1
Li10H,100,7,-1
Li10H,50,7,-1
Li8H7,100,7,-1
Li8H7,50,7,-1
Li8H5,150,7,-1
Li6H7,150,7,1
Li7H4,50,7,-1
Li7H3,150,7,-1
Li7H3,100,7,-1
Li7H3,50,7,-1
Li7H2,150,7,-1
Li7H2,100,7,-1
Li7H2,50,7,-1
Li5H7,50,7,-1
Li5H7,100,7,-1
Li6H7,100,7,1
Li7H4,150,7,-1
Li6H7,50,7,-1
Li6H5,150,7,1
